timestamp,gpu_id,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz,temperature_c
1776341985.837169,0,100.0,70795.2,81920.0,306.1,1395,65
1776341986.3375623,0,100.0,70795.2,81920.0,296.1,1380,65
1776341986.8383107,0,100.0,70795.2,81920.0,301.9,1395,64
1776341987.3385117,0,100.0,70795.2,81920.0,301.3,1380,64
1776341987.8386893,0,92.0,70795.2,81920.0,304.6,1395,64
1776341988.3388917,0,100.0,70795.2,81920.0,292.3,1380,64
1776341988.8392007,0,100.0,70795.2,81920.0,305.5,1395,64
1776341989.3394744,0,100.0,70795.2,81920.0,294.4,1380,64
1776341989.839666,0,100.0,70795.2,81920.0,303.8,1395,64
1776341990.3398438,0,100.0,70795.2,81920.0,295.4,1380,64
1776341990.8400831,0,100.0,70795.2,81920.0,304.1,1395,64
1776341991.340434,0,100.0,70795.2,81920.0,293.4,1380,64
1776341991.8406596,0,100.0,70795.2,81920.0,303.4,1395,64
1776341992.3408847,0,100.0,70795.2,81920.0,305.0,1380,64
1776341992.841276,0,100.0,70795.2,81920.0,301.6,1395,64
1776341993.34155,0,100.0,70795.2,81920.0,295.2,1380,64
1776341993.8419156,0,100.0,70795.2,81920.0,305.8,1395,64
1776341994.342134,0,100.0,70795.2,81920.0,296.5,1380,64
1776341994.8423243,0,100.0,70795.2,81920.0,293.5,1380,64
1776341995.3425593,0,100.0,70795.2,81920.0,302.6,1395,64
1776341995.8429093,0,100.0,70795.2,81920.0,290.8,1380,64
1776341996.3431585,0,100.0,70795.2,81920.0,300.7,1395,64
1776341996.8433511,0,100.0,70795.2,81920.0,291.4,1380,64
1776341997.343562,0,100.0,70795.2,81920.0,305.5,1395,64
1776341997.843813,0,100.0,70795.2,81920.0,293.0,1380,64
1776341998.3442678,0,100.0,70795.2,81920.0,301.8,1395,64
1776341998.8446686,0,100.0,70795.2,81920.0,291.1,1380,64
1776341999.345337,0,100.0,70795.2,81920.0,301.7,1395,64
1776341999.845487,0,100.0,70795.2,81920.0,288.1,1380,64
1776342000.345728,0,100.0,70795.2,81920.0,304.0,1380,64
1776342000.8461192,0,100.0,70795.2,81920.0,291.6,1380,64
1776342001.3464189,0,100.0,70795.2,81920.0,293.5,1380,64
1776342001.846839,0,100.0,70795.2,81920.0,292.4,1380,64
1776342002.347288,0,100.0,70795.2,81920.0,302.4,1395,64
1776342002.8477192,0,95.0,70795.2,81920.0,291.0,1380,64
1776342003.348111,0,100.0,70795.2,81920.0,291.1,1380,64
1776342003.8484454,0,100.0,70795.2,81920.0,289.2,1380,64
1776342004.3486009,0,100.0,70795.2,81920.0,291.9,1395,64
1776342004.848855,0,100.0,70795.2,81920.0,287.9,1380,64
1776342005.3492517,0,100.0,70795.2,81920.0,279.8,1395,64
1776342005.849456,0,100.0,70795.2,81920.0,308.0,1380,64
1776342006.349607,0,100.0,70795.2,81920.0,291.9,1380,64
1776342006.849747,0,100.0,70795.2,81920.0,301.7,1395,64
1776342007.3499284,0,100.0,70795.2,81920.0,288.2,1380,64
1776342007.8502772,0,100.0,70795.2,81920.0,301.5,1395,64
1776342008.3504775,0,100.0,70795.2,81920.0,291.2,1395,64
1776342008.8506393,0,100.0,70795.2,81920.0,304.4,1395,64
1776342009.3507824,0,100.0,70795.2,81920.0,303.7,1395,64
1776342009.8509653,0,100.0,70795.2,81920.0,303.3,1395,64
1776342010.3512642,0,100.0,70795.2,81920.0,305.5,1395,64
1776342010.85147,0,100.0,70795.2,81920.0,304.0,1395,64
1776342011.351614,0,100.0,70795.2,81920.0,300.8,1395,64
1776342011.8517923,0,100.0,70795.2,81920.0,301.7,1395,64
1776342012.3521192,0,100.0,70795.2,81920.0,304.0,1395,64
1776342012.852443,0,100.0,70795.2,81920.0,306.9,1395,64
1776342013.3528934,0,100.0,70795.2,81920.0,295.6,1395,64
1776342013.8531878,0,100.0,70795.2,81920.0,301.6,1395,64
1776342014.3535018,0,94.0,70795.2,81920.0,303.9,1395,64
1776342014.8536937,0,100.0,70795.2,81920.0,307.8,1395,64
1776342015.3539352,0,100.0,70795.2,81920.0,291.8,1380,64
1776342015.854158,0,100.0,70795.2,81920.0,300.6,1395,64
1776342016.35439,0,100.0,70795.2,81920.0,291.3,1380,64
1776342016.854619,0,100.0,70795.2,81920.0,301.4,1395,64
1776342017.3548512,0,94.0,70795.2,81920.0,292.1,1395,64
1776342017.8550615,0,100.0,70795.2,81920.0,301.6,1395,64
1776342018.3552933,0,100.0,70795.2,81920.0,292.0,1395,64
1776342018.8555372,0,100.0,70795.2,81920.0,302.7,1395,64
1776342019.3557665,0,100.0,70795.2,81920.0,298.9,1395,64
1776342019.8559933,0,100.0,70795.2,81920.0,302.9,1395,64
1776342020.3562703,0,95.0,70795.2,81920.0,299.6,1395,64
1776342020.8565013,0,100.0,70795.2,81920.0,301.4,1380,64
1776342021.356717,0,100.0,70795.2,81920.0,306.8,1395,64
1776342021.8569396,0,100.0,70795.2,81920.0,301.9,1380,64
1776342022.357174,0,100.0,70795.2,81920.0,304.5,1395,64
1776342022.8573976,0,100.0,70795.2,81920.0,299.2,1395,64
1776342023.3576317,0,100.0,70795.2,81920.0,296.3,1380,64
1776342023.857866,0,100.0,70795.2,81920.0,302.5,1395,64
1776342024.3580964,0,100.0,70795.2,81920.0,293.3,1395,64
1776342024.8583324,0,100.0,70795.2,81920.0,302.6,1395,64
1776342025.3585668,0,100.0,70795.2,81920.0,301.3,1395,64
1776342025.8588028,0,100.0,70795.2,81920.0,292.1,1380,64
1776342026.3590398,0,94.0,70795.2,81920.0,301.3,1395,64
1776342026.859267,0,100.0,70795.2,81920.0,295.8,1365,64
1776342027.3594856,0,100.0,70795.2,81920.0,302.4,1395,64
1776342027.8596966,0,100.0,70795.2,81920.0,288.4,1380,64
1776342028.3599486,0,100.0,70795.2,81920.0,300.6,1395,64
1776342028.860317,0,100.0,70795.2,81920.0,291.7,1380,64
1776342029.3605711,0,100.0,70795.2,81920.0,305.8,1395,64
1776342029.8608112,0,100.0,70795.2,81920.0,304.1,1380,64
1776342030.3610497,0,100.0,70795.2,81920.0,302.9,1395,64
1776342030.8612578,0,100.0,70795.2,81920.0,301.5,1380,64
1776342031.3614314,0,100.0,70795.2,81920.0,301.2,1395,64
1776342031.8616354,0,100.0,70795.2,81920.0,292.8,1380,64
1776342032.3620062,0,95.0,70795.2,81920.0,305.0,1395,64
1776342032.8622339,0,100.0,70795.2,81920.0,292.0,1380,64
1776342033.3624747,0,100.0,70795.2,81920.0,306.4,1395,64
1776342033.8626988,0,100.0,70795.2,81920.0,290.8,1380,64
1776342034.3629508,0,100.0,70795.2,81920.0,304.1,1395,64
1776342034.8631823,0,100.0,70795.2,81920.0,290.7,1380,64
1776342035.3634272,0,100.0,70795.2,81920.0,302.4,1380,64
1776342035.8636565,0,100.0,70795.2,81920.0,302.9,1395,64
1776342036.3638873,0,100.0,70795.2,81920.0,302.6,1395,64
1776342036.8648434,0,100.0,70795.2,81920.0,302.4,1380,64
1776342037.3650737,0,100.0,70795.2,81920.0,301.9,1395,64
1776342037.8653102,0,100.0,70795.2,81920.0,293.0,1380,64
1776342038.365564,0,94.0,70795.2,81920.0,303.1,1395,64
1776342038.8657858,0,100.0,70795.2,81920.0,301.3,1380,64
1776342039.3660133,0,100.0,70795.2,81920.0,303.4,1395,64
1776342039.8662515,0,100.0,70795.2,81920.0,304.4,1380,64
1776342040.3664923,0,100.0,70795.2,81920.0,300.6,1395,64
1776342040.8667016,0,100.0,70795.2,81920.0,291.4,1380,64
1776342041.3669436,0,100.0,70795.2,81920.0,303.7,1395,64
1776342041.8671527,0,100.0,70795.2,81920.0,281.6,1365,64
1776342042.3673985,0,100.0,70795.2,81920.0,293.7,1380,64
1776342042.8676069,0,100.0,70795.2,81920.0,303.5,1380,64
1776342043.3678482,0,100.0,70795.2,81920.0,302.0,1380,64
