2026/04/18 17:10:31.201, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:31.237, 0 MiB, 81920 MiB, 0 %, 60.94 W
2026/04/18 17:10:32.116, 4 MiB, 81920 MiB, 0 %, 64.59 W
2026/04/18 17:10:32.233, 4 MiB, 81920 MiB, 0 %, 64.59 W
2026/04/18 17:10:32.238, 4 MiB, 81920 MiB, 0 %, 64.59 W
2026/04/18 17:10:32.238, 4 MiB, 81920 MiB, 0 %, 64.59 W
2026/04/18 17:10:32.265, 4 MiB, 81920 MiB, 0 %, 64.59 W
2026/04/18 17:10:33.248, 15867 MiB, 81920 MiB, 35 %, 71.76 W
2026/04/18 17:10:33.267, 15867 MiB, 81920 MiB, 35 %, 71.76 W
2026/04/18 17:10:33.279, 15867 MiB, 81920 MiB, 35 %, 71.76 W
2026/04/18 17:10:33.282, 15867 MiB, 81920 MiB, 35 %, 71.76 W
2026/04/18 17:10:33.297, 15867 MiB, 81920 MiB, 35 %, 71.76 W
2026/04/18 17:10:34.274, 15867 MiB, 81920 MiB, 35 %, 71.76 W
2026/04/18 17:10:34.295, 15867 MiB, 81920 MiB, 35 %, 71.76 W
2026/04/18 17:10:34.312, 15867 MiB, 81920 MiB, 35 %, 71.76 W
2026/04/18 17:10:34.315, 15867 MiB, 81920 MiB, 35 %, 71.76 W
2026/04/18 17:10:34.331, 15867 MiB, 81920 MiB, 35 %, 71.76 W
2026/04/18 17:10:35.304, 15899 MiB, 81920 MiB, 2 %, 87.63 W
2026/04/18 17:10:35.320, 15899 MiB, 81920 MiB, 2 %, 87.63 W
2026/04/18 17:10:35.347, 15989 MiB, 81920 MiB, 2 %, 87.63 W
2026/04/18 17:10:35.350, 15989 MiB, 81920 MiB, 2 %, 87.63 W
2026/04/18 17:10:35.362, 15989 MiB, 81920 MiB, 2 %, 87.63 W
2026/04/18 17:10:36.334, 27661 MiB, 81920 MiB, 20 %, 88.41 W
2026/04/18 17:10:36.350, 27661 MiB, 81920 MiB, 20 %, 88.41 W
2026/04/18 17:10:36.432, 27661 MiB, 81920 MiB, 4 %, 88.14 W
2026/04/18 17:10:36.435, 27661 MiB, 81920 MiB, 4 %, 88.14 W
2026/04/18 17:10:36.435, 27661 MiB, 81920 MiB, 4 %, 88.14 W
2026/04/18 17:10:37.416, 27663 MiB, 81920 MiB, 1 %, 87.90 W
2026/04/18 17:10:37.434, 27663 MiB, 81920 MiB, 1 %, 87.90 W
2026/04/18 17:10:37.525, 27663 MiB, 81920 MiB, 1 %, 87.81 W
2026/04/18 17:10:37.534, 27663 MiB, 81920 MiB, 1 %, 87.81 W
2026/04/18 17:10:37.534, 27663 MiB, 81920 MiB, 1 %, 87.81 W
2026/04/18 17:10:38.449, 27667 MiB, 81920 MiB, 1 %, 71.23 W
2026/04/18 17:10:38.509, 27667 MiB, 81920 MiB, 1 %, 71.23 W
2026/04/18 17:10:38.558, 27667 MiB, 81920 MiB, 1 %, 71.23 W
2026/04/18 17:10:38.630, 27667 MiB, 81920 MiB, 1 %, 71.23 W
2026/04/18 17:10:38.633, 27667 MiB, 81920 MiB, 1 %, 71.23 W
2026/04/18 17:10:39.535, 27745 MiB, 81920 MiB, 1 %, 192.53 W
2026/04/18 17:10:39.550, 27745 MiB, 81920 MiB, 1 %, 192.53 W
2026/04/18 17:10:39.631, 27745 MiB, 81920 MiB, 8 %, 72.16 W
2026/04/18 17:10:39.669, 27745 MiB, 81920 MiB, 8 %, 72.16 W
2026/04/18 17:10:39.669, 27745 MiB, 81920 MiB, 8 %, 72.16 W
2026/04/18 17:10:40.566, 27809 MiB, 81920 MiB, 1 %, 213.16 W
2026/04/18 17:10:40.586, 27809 MiB, 81920 MiB, 1 %, 213.16 W
2026/04/18 17:10:40.666, 27809 MiB, 81920 MiB, 14 %, 71.57 W
2026/04/18 17:10:40.702, 27775 MiB, 81920 MiB, 14 %, 71.23 W
2026/04/18 17:10:40.704, 27775 MiB, 81920 MiB, 14 %, 71.23 W
2026/04/18 17:10:41.597, 27817 MiB, 81920 MiB, 1 %, 71.23 W
2026/04/18 17:10:41.623, 27817 MiB, 81920 MiB, 26 %, 71.23 W
2026/04/18 17:10:41.694, 27783 MiB, 81920 MiB, 26 %, 71.23 W
2026/04/18 17:10:41.737, 27783 MiB, 81920 MiB, 26 %, 71.23 W
2026/04/18 17:10:41.740, 27783 MiB, 81920 MiB, 26 %, 71.23 W
2026/04/18 17:10:42.635, 27791 MiB, 81920 MiB, 25 %, 71.31 W
2026/04/18 17:10:42.654, 27791 MiB, 81920 MiB, 25 %, 71.31 W
2026/04/18 17:10:42.723, 27791 MiB, 81920 MiB, 25 %, 71.31 W
