timestamp,gpu_index,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz
1776342785.4650564,0,100.0,70795.25,81920.0,303.824,1395
1776342785.565201,0,100.0,70795.25,81920.0,299.472,1395
1776342785.6656218,0,100.0,70795.25,81920.0,294.294,1380
1776342785.7657962,0,100.0,70795.25,81920.0,300.861,1395
1776342785.866112,0,100.0,70795.25,81920.0,300.861,1380
1776342785.9662964,0,100.0,70795.25,81920.0,297.746,1395
1776342786.06651,0,100.0,70795.25,81920.0,303.039,1395
1776342786.166705,0,100.0,70795.25,81920.0,303.039,1380
1776342786.2669609,0,100.0,70795.25,81920.0,300.628,1380
1776342786.3671157,0,100.0,70795.25,81920.0,298.147,1395
1776342786.4673774,0,100.0,70795.25,81920.0,298.047,1395
1776342786.5675747,0,100.0,70795.25,81920.0,305.659,1380
1776342786.6677072,0,100.0,70795.25,81920.0,291.282,1380
1776342786.7680287,0,100.0,70795.25,81920.0,289.561,1395
1776342786.8696504,0,100.0,70795.25,81920.0,297.347,1395
1776342786.9699402,0,89.0,70795.25,81920.0,303.597,1395
1776342787.0701554,0,89.0,70795.25,81920.0,172.874,1380
1776342787.1705105,0,100.0,70795.25,81920.0,290.317,1380
1776342787.2707021,0,100.0,70795.25,81920.0,300.065,1395
1776342787.3709989,0,100.0,70795.25,81920.0,300.065,1395
1776342787.4712014,0,100.0,70795.25,81920.0,301.124,1395
1776342787.571458,0,100.0,70795.25,81920.0,297.759,1395
1776342787.6717117,0,100.0,70795.25,81920.0,300.623,1395
1776342787.7720292,0,100.0,70795.25,81920.0,299.199,1395
1776342787.8722868,0,100.0,70795.25,81920.0,301.123,1395
1776342787.972473,0,100.0,70795.25,81920.0,292.356,1395
1776342788.0726194,0,100.0,70795.25,81920.0,304.175,1395
1776342788.1727881,0,100.0,70795.25,81920.0,289.075,1380
1776342788.2729652,0,100.0,70795.25,81920.0,296.412,1395
1776342788.373152,0,100.0,70795.25,81920.0,304.97,1395
1776342788.473297,0,100.0,70795.25,81920.0,293.877,1380
1776342788.5734563,0,100.0,70795.25,81920.0,305.059,1395
1776342788.673596,0,100.0,70795.25,81920.0,301.615,1395
1776342788.7737753,0,100.0,70795.25,81920.0,300.269,1395
1776342788.8739116,0,100.0,70795.25,81920.0,300.269,1380
1776342788.974057,0,100.0,70795.25,81920.0,293.23,1380
1776342789.0741947,0,100.0,70795.25,81920.0,304.023,1395
1776342789.17434,0,100.0,70795.25,81920.0,296.392,1380
1776342789.2745056,0,100.0,70795.25,81920.0,291.083,1395
1776342789.374669,0,100.0,70795.25,81920.0,291.083,1380
1776342789.474814,0,100.0,70795.25,81920.0,300.611,1380
1776342789.574954,0,100.0,70795.25,81920.0,293.336,1380
1776342789.675089,0,100.0,70795.25,81920.0,306.809,1395
1776342789.7752566,0,100.0,70795.25,81920.0,302.409,1395
1776342789.8754675,0,100.0,70795.25,81920.0,300.66,1380
1776342789.9757257,0,100.0,70795.25,81920.0,298.223,1380
1776342790.0759232,0,100.0,70795.25,81920.0,295.922,1395
1776342790.1761525,0,100.0,70795.25,81920.0,300.219,1380
1776342790.2763333,0,100.0,70795.25,81920.0,295.013,1380
1776342790.376596,0,100.0,70795.25,81920.0,295.259,1395
1776342790.4767475,0,100.0,70795.25,81920.0,295.891,1380
1776342790.5768838,0,100.0,70795.25,81920.0,301.447,1335
1776342790.6770344,0,100.0,70795.25,81920.0,287.813,1320
1776342790.7772486,0,100.0,70795.25,81920.0,287.822,1380
1776342790.877378,0,100.0,70795.25,81920.0,301.231,1395
1776342790.9774728,0,100.0,70795.25,81920.0,301.417,1395
1776342791.0776267,0,100.0,70795.25,81920.0,302.962,1395
1776342791.177828,0,100.0,70795.25,81920.0,300.849,1395
1776342791.2779677,0,100.0,70795.25,81920.0,303.053,1395
1776342791.3781793,0,100.0,70795.25,81920.0,300.548,1395
1776342791.4783084,0,100.0,70795.25,81920.0,301.983,1395
1776342791.5784485,0,100.0,70795.25,81920.0,295.137,1365
1776342791.6786282,0,100.0,70795.25,81920.0,295.137,1380
1776342791.779098,0,100.0,70795.25,81920.0,289.187,1395
1776342791.8796904,0,100.0,70795.25,81920.0,298.045,1395
1776342791.9799137,0,100.0,70795.25,81920.0,305.567,1395
1776342792.0801077,0,100.0,70795.25,81920.0,300.163,1395
1776342792.180326,0,100.0,70795.25,81920.0,300.177,1395
1776342792.2805424,0,100.0,70795.25,81920.0,299.007,1395
1776342792.3809068,0,100.0,70795.25,81920.0,301.216,1395
1776342792.481129,0,100.0,70795.25,81920.0,303.338,1395
1776342792.5813453,0,100.0,70795.25,81920.0,299.878,1380
1776342792.6815622,0,100.0,70795.25,81920.0,294.364,1380
1776342792.781781,0,100.0,70795.25,81920.0,293.613,1380
1776342792.882004,0,100.0,70795.25,81920.0,292.237,1395
1776342792.9821904,0,100.0,70795.25,81920.0,305.362,1395
1776342793.082344,0,100.0,70795.25,81920.0,302.872,1380
1776342793.1824734,0,100.0,70795.25,81920.0,292.457,1395
1776342793.2826128,0,100.0,70795.25,81920.0,301.1,1395
1776342793.3827846,0,100.0,70795.25,81920.0,303.222,1395
1776342793.4830596,0,100.0,70795.25,81920.0,305.539,1380
1776342793.5832958,0,100.0,70795.25,81920.0,297.193,1380
1776342793.6835196,0,100.0,70795.25,81920.0,297.578,1380
1776342793.7836957,0,100.0,70795.25,81920.0,296.861,1380
1776342793.8838482,0,100.0,70795.25,81920.0,304.576,1395
1776342793.984103,0,100.0,70795.25,81920.0,304.576,1395
1776342794.0844114,0,100.0,70795.25,81920.0,274.211,1305
1776342794.18456,0,100.0,70795.25,81920.0,274.211,1320
1776342794.2847593,0,100.0,70795.25,81920.0,263.431,1395
1776342794.3849752,0,100.0,70795.25,81920.0,285.994,1395
1776342794.4851902,0,100.0,70795.25,81920.0,296.702,1395
1776342794.58563,0,100.0,70795.25,81920.0,300.841,1395
1776342794.6858056,0,100.0,70795.25,81920.0,300.178,1395
1776342794.7860756,0,100.0,70795.25,81920.0,300.928,1395
1776342794.8863552,0,100.0,70795.25,81920.0,298.708,1395
1776342794.986576,0,100.0,70795.25,81920.0,300.458,1395
1776342795.0868008,0,100.0,70795.25,81920.0,299.294,1395
1776342795.187019,0,100.0,70795.25,81920.0,302.473,1395
1776342795.2872422,0,100.0,70795.25,81920.0,294.282,1380
1776342795.3874376,0,100.0,70795.25,81920.0,293.324,1380
1776342795.4876008,0,100.0,70795.25,81920.0,297.193,1395
1776342795.5878146,0,100.0,70795.25,81920.0,304.303,1395
1776342795.6880314,0,100.0,70795.25,81920.0,296.605,1395
1776342795.788238,0,100.0,70795.25,81920.0,298.998,1395
1776342795.8885996,0,100.0,70795.25,81920.0,301.517,1395
1776342795.9887779,0,100.0,70795.25,81920.0,300.078,1395
1776342796.0890255,0,100.0,70795.25,81920.0,298.888,1380
1776342796.1891732,0,100.0,70795.25,81920.0,291.697,1380
1776342796.289322,0,100.0,70795.25,81920.0,291.697,1380
1776342796.3896017,0,100.0,70795.25,81920.0,301.51,1380
1776342796.4897616,0,100.0,70795.25,81920.0,301.51,1395
1776342796.5899346,0,100.0,70795.25,81920.0,295.839,1380
1776342796.6901371,0,100.0,70795.25,81920.0,295.933,1395
1776342796.7905676,0,100.0,70795.25,81920.0,301.786,1395
1776342796.890829,0,100.0,70795.25,81920.0,300.184,1395
1776342796.990984,0,100.0,70795.25,81920.0,300.184,1395
