request_id,timestamp,ttft_ms,tpot_ms,total_latency_ms,tokens_in,tokens_out,error
114,1776341780.2974443,27.251243591308594,11.512992896285711,2963.064432144165,119,256,
115,1776341783.2625597,25.048017501831055,11.502787646125345,2958.258867263794,83,256,
116,1776341786.221815,24.028778076171875,11.498726115507239,2956.2039375305176,83,256,
117,1776341789.1791136,22.3846435546875,11.479809704948874,2949.7361183166504,29,256,
118,1776341792.1296394,20.03002166748047,11.498680301741057,2952.19349861145,74,256,
119,1776341795.0825999,23.57625961303711,11.503912420833812,2957.073926925659,101,256,
120,1776341798.040408,23.22983741760254,11.498751359827379,2955.411434173584,83,256,
121,1776341800.9965572,24.46770668029785,11.498783148971258,2956.6574096679688,92,256,
122,1776341803.953849,25.475263595581055,11.505876802930645,2959.4738483428955,101,256,
123,1776341806.914166,22.848844528198242,11.48369639527564,2951.1914253234863,74,256,
124,1776341809.8657575,17.701148986816406,11.471705343209061,2942.986011505127,11,256,
125,1776341812.809047,22.237062454223633,11.507263370588714,2956.5892219543457,101,256,
126,1776341815.7663474,21.831274032592773,11.496346604590322,2953.399658203125,83,256,
127,1776341818.7204695,25.71249008178711,11.504220027549595,2959.2885971069336,101,256,
128,1776341821.6805236,25.44546127319336,11.498244603474935,2957.4978351593018,83,256,
129,1776341824.6440206,26.087045669555664,11.491157494339289,2956.332206726074,65,256,
130,1776341827.601276,22.11618423461914,11.50951572493011,2957.042694091797,119,256,
131,1776341830.55997,22.472381591796875,11.475950128891888,2948.8396644592285,29,256,
132,1776341833.5094156,23.16117286682129,11.500279108683268,2955.7323455810547,83,256,
133,1776341836.466385,26.02410316467285,11.506092782114067,2960.0777626037598,101,256,
134,1776341839.4271197,25.150060653686523,11.48545695286171,2953.941583633423,47,256,
135,1776341842.3814185,20.76864242553711,11.4807222403732,2948.352813720703,29,256,
136,1776341845.330225,26.082992553710938,11.494974061554553,2957.301378250122,74,256,
137,1776341848.287967,30.052661895751953,11.52041940128102,2967.759609222412,137,256,
138,1776341851.2568855,25.45952796936035,11.495102153104895,2956.7105770111084,74,256,
139,1776341854.2145662,30.41982650756836,11.521341286453547,2968.3618545532227,146,256,
140,1776341857.1842453,22.312402725219727,11.485539230645871,2951.124906539917,38,256,
141,1776341860.1360157,29.63542938232422,11.534676832311293,2970.978021621704,182,256,
142,1776341863.1095254,26.57628059387207,11.502782971251245,2959.7859382629395,101,256,
143,1776341866.0698538,20.859479904174805,11.474355061848959,2946.820020675659,11,256,
144,1776341869.0174763,22.779226303100586,11.523310343424479,2961.223363876343,164,256,
145,1776341871.9795427,23.103713989257812,11.48066427193436,2950.6731033325195,38,256,
146,1776341874.9308066,21.604299545288086,11.470375809015012,2946.550130844116,11,256,
147,1776341877.8779604,29.019594192504883,11.526276083553538,2968.219995498657,155,256,
148,1776341880.847199,25.893211364746094,11.502709108240465,2959.0840339660645,92,256,
149,1776341883.8071017,22.50051498413086,11.473424761903052,2948.223829269409,20,256,
150,1776341886.7557983,22.11594581604004,11.490000930486941,2952.06618309021,56,256,
151,1776341889.7083247,29.466629028320312,11.526809954175762,2968.8031673431396,155,256,
152,1776341892.6778243,31.324386596679688,11.52962235843434,2971.3780879974365,164,256,
153,1776341895.6506069,22.52817153930664,11.517587362551222,2959.512948989868,146,256,
154,1776341898.61085,25.444984436035156,11.498370825075636,2957.5295448303223,83,256,
155,1776341901.5690467,30.64417839050293,11.528651854571175,2970.4504013061523,164,256,
156,1776341904.5404851,21.306753158569336,11.477013195262236,2947.9451179504395,29,256,
157,1776341907.4890783,22.527694702148438,11.497145073086608,2954.2996883392334,74,256,
158,1776341910.4444785,24.746417999267578,11.496585023169423,2956.3755989074707,83,256,
159,1776341913.4016,24.078845977783203,11.514026978436638,2960.155725479126,119,256,
160,1776341916.3641722,20.32780647277832,11.513685712627336,2956.317663192749,119,256,
161,1776341919.3214252,26.717424392700195,11.495142357022155,2957.9787254333496,65,256,
162,1776341922.2801242,22.023439407348633,11.480062148150276,2949.439287185669,29,256,
163,1776341925.2300687,23.09441566467285,11.515255535350127,2959.484577178955,119,256,
164,1776341928.1907551,26.15070343017578,11.506887510711072,2960.407018661499,110,256,
165,1776341931.1522825,21.11506462097168,11.485465367635092,2949.90873336792,38,256,
166,1776341934.1036096,30.72047233581543,11.535079806458716,2972.165822982788,173,256,
167,1776341937.0769165,30.63225746154785,11.518235300101486,2967.7822589874268,137,256,
168,1776341940.0454316,27.06766128540039,11.525291555068073,2966.017007827759,137,256,
169,1776341943.0124803,24.714946746826172,11.49443364610859,2955.7955265045166,56,256,
170,1776341945.9689436,21.05093002319336,11.488028133616728,2950.498104095459,38,256,
171,1776341948.9202678,24.337291717529297,11.506850111718272,2958.5840702056885,83,256,
172,1776341951.881025,25.09284019470215,11.505985260009766,2959.1190814971924,74,256,
173,1776341954.8410237,21.85535430908203,11.487189461203183,2951.0886669158936,20,256,
174,1776341957.7925913,28.531551361083984,11.555899825750613,2975.2860069274902,182,256,
175,1776341960.768901,24.572372436523438,11.53710028704475,2966.5329456329346,128,256,
176,1776341963.7364986,32.61113166809082,11.509433447145948,2967.5166606903076,83,256,
177,1776341966.7048817,20.13111114501953,11.502261255301681,2953.2077312469482,20,256,
178,1776341969.6587725,26.16596221923828,11.535989536958581,2967.8432941436768,128,256,
179,1776341972.627469,34.300804138183594,11.54938679115445,2979.3944358825684,182,256,
180,1776341975.6080258,22.530078887939453,11.496889824960746,2954.2369842529297,47,256,
181,1776341978.5630512,24.51300621032715,11.514431822533702,2960.693120956421,92,256,
182,1776341981.524604,27.393341064453125,11.526004940855737,2966.524600982666,128,256,
183,1776341984.491868,24.21855926513672,11.504645441092697,2957.9031467437744,65,256,
